,project,projectSlug,date,description,discord,twitter,title,category,address,token,type,slug
0,The Sandbox,thesandbox,2020-03-09T04:45:41,"<p>The Sandbox is a community-driven UGC-voxel platform where users own their LAND and host their creative magic. Users may buy, sell, and trade their voxel creations on secondary markets and truly become a part of this user-built world where everything you see is built by and for the community.</p>
",https://discord.gg/vAe4zvY,https://twitter.com/thesandboxgame,Sandbox's ASSETs,item,0x067a1eb5e383ed24b66d72aaf80d8d7db3d299a8,ASSET,ERC721,sandboxs-assets
1,The Sandbox,thesandbox,2020-03-09T04:45:41,"<p>The Sandbox is a community-driven UGC-voxel platform where users own their LAND and host their creative magic. Users may buy, sell, and trade their voxel creations on secondary markets and truly become a part of this user-built world where everything you see is built by and for the community.</p>
",https://discord.gg/vAe4zvY,https://twitter.com/thesandboxgame,Sandbox's LANDs ,land,0x50f5474724e0ee42d9a4e711ccfb275809fd6d4a,LAND,ERC721,sandboxs-lands-
2,The Sandbox,thesandbox,2020-03-09T04:45:41,"<p>The Sandbox is a community-driven UGC-voxel platform where users own their LAND and host their creative magic. Users may buy, sell, and trade their voxel creations on secondary markets and truly become a part of this user-built world where everything you see is built by and for the community.</p>
",https://discord.gg/vAe4zvY,https://twitter.com/thesandboxgame,Sandbox's ESTATEs,land,0xf17131a4c85e8a75ba52b3f91ce8c32f6f163924,ESTATE,ERC721,sandboxs-estates
3,Bored Ape Yacht Club,boredapeclub,2021-07-08T00:16:35,"<p>BAYC is a collection of 10,000 Bored Ape NFTs—unique digital collectibles living on the Ethereum blockchain. Your Bored Ape doubles as your Yacht Club membership card, and grants access to members-only benefits, the first of which is access to THE BATHROOM, a collaborative graffiti board. Future areas and perks can be unlocked by the community through roadmap activation.</p>
",https://discord.gg/3P5K3dzgdB,https://twitter.com/BoredApeYC,Bored Ape Yacht Club,collectible,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,BAYC,ERC721,bored-ape-yacht-club
4,Bored Ape Yacht Club,boredapeclub,2021-07-08T00:16:35,"<p>BAYC is a collection of 10,000 Bored Ape NFTs—unique digital collectibles living on the Ethereum blockchain. Your Bored Ape doubles as your Yacht Club membership card, and grants access to members-only benefits, the first of which is access to THE BATHROOM, a collaborative graffiti board. Future areas and perks can be unlocked by the community through roadmap activation.</p>
",https://discord.gg/3P5K3dzgdB,https://twitter.com/BoredApeYC,Bored Ape Kennel Club,collectible,0xba30e5f9bb24caa003e9f2f0497ad287fdf95623,BAKC,ERC721,bored-ape-kennel-club
5,Bored Ape Yacht Club,boredapeclub,2021-07-08T00:16:35,"<p>BAYC is a collection of 10,000 Bored Ape NFTs—unique digital collectibles living on the Ethereum blockchain. Your Bored Ape doubles as your Yacht Club membership card, and grants access to members-only benefits, the first of which is access to THE BATHROOM, a collaborative graffiti board. Future areas and perks can be unlocked by the community through roadmap activation.</p>
",https://discord.gg/3P5K3dzgdB,https://twitter.com/BoredApeYC,Mutant Ape Yacht Club,collectible,0x60e4d786628fea6478f785a6d7e704777c86a7c6,MAYC,ERC721,mutant-ape-yacht-club
6,Axie Infinity,axieinfinity,2020-03-09T03:44:05,"<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkF4aWUlMjBJbmZpbml0eSUyMGlzJTIwYSUyMGdhbWUlMjB1bml2ZXJzZSUyMGZpbGxlZCUyMHdpdGglMjBmYXNjaW5hdGluZyUyMGNyZWF0dXJlcyUyQyUyMEF4aWVzJTJDJTIwdGhhdCUyMHBsYXllcnMlMjBjYW4lMjBjb2xsZWN0JTIwYXMlMjBwZXRzLiUyMFBsYXllcnMlMjBhaW0lMjB0byUyMGJhdHRsZSUyQyUyMGJyZWVkJTJDJTIwY29sbGVjdCUyQyUyMHJhaXNlJTJDJTIwYW5kJTIwYnVpbGQlMjBraW5nZG9tcyUyMGZvciUyMHRoZWlyJTIwQXhpZXMuJTIyJTJDJTIybWFya3MlMjIlM0ElNUIlNUQlMkMlMjJzZWxlY3Rpb25zJTIyJTNBJTVCJTVEJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyNWQ2YTFjMzlkNTVkNGExY2FjODZkYWZkZjllYmU2ZDclMjIlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwNTRkYzY2MmM1NWQ0YTg5YTIxMWNhMTE3Njk1MjE4ZSUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjQzYTM1ODFhMmNkZDQyMGQ5NGY4Y2RkYTVlYzM0MjZlJTIyJTdE"">Axie Infinity is an open-ended game universe full of fierce, adorable pets called Axies. Players aim to battle, breed, collect, raise, and build kingdoms for their Axies across Lunacia, the Axie homeland. Lunacia is divided into tokenized plots of land which act as home bases for Axies.</span></p>
<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMlRoZXJlJTIwYXJlJTIwY291bnRsZXNzJTIwdW5pcXVlJTIwQXhpZXMlMjB0aGF0JTIwcGxheWVycyUyMGNhbiUyMGNvbGxlY3QlMjB3aXRoJTIwdmFyeWluZyUyMGJvZHklMjBwYXJ0cyUyMGFuZCUyMGFwcGVhcmFuY2VzLiUyMEJvZHklMjBwYXJ0cyUyMHdpbGwlMjB1bmxvY2slMjBhYmlsaXRpZXMlMjBmb3IlMjBBeGllcyUyMHRoYXQlMjB2YXJ5JTIwYWNyb3NzJTIwZ2FtZXMlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwMWJmYjY1N2FkZjY0ZmFiOGY4MTY1YmU4YWFlZjg0MyUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjg4M2RlZDAyZTQyMjQ0YTRhZjNlOWQ5ZmU3ZTM2NTcxJTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzlhNTQ0NDJhNTY2NDQ2YTg4NTEyOTY3MTJhYWYwODklMjIlN0Q="">Axies vary in countless unique body parts and appearances. Body parts unlock abilities for Axies, giving them special benefits and skills from one game to another. </span><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkx1bmFjaWElMkMlMjAlMjB0aGUlMjBBeGllJTIwaG9tZWxhbmQlMkMlMjAlMjBpcyUyMGRpdmlkZWQlMjBpbnRvJTIwdG9rZW5pemVkJTIwcGxvdHMlMjBvZiUyMGxhbmQlMjB3aGljaCUyMGFjdCUyMGFzJTIwaG9tZXMlMjBhbmQlMjBiYXNlcyUyMG9mJTIwb3BlcmF0aW9uJTIwZm9yJTIwdGhlaXIlMjBBeGllcy4lMjBQbG90cyUyMGNhbiUyMGJlJTIwdXBncmFkZWQlMjBvdmVyJTIwdGltZSUyMHVzaW5nJTIwYSUyMHZhcmlldHklMjBvZiUyMHJlc291cmNlcyUyMGFuZCUyMGNyYWZ0aW5nJTIwaW5ncmVkaWVudHMlMjB0aGF0JTIwY2FuJTIwYmUlMjBmb3VuZCUyMHdoZW4lMjBwbGF5aW5nJTIwdGhlJTIwZ2FtZS4lMjAlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjJmYTM3Y2Q0ZjMwZmY0MDNkOWEwNGVlYTgxMjgwYTU1NiUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjVjOTdkY2NmYmRlMzQxMWRhOGJmNjM5NTQ4MTcxNTg5JTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzA0NWVkZjFmYzI0NDg1YWE1MmE4ZjQ5N2U5ZDQyMzIlMjIlN0Q="">Resources spawn in nodes across Lunacia and can be used to upgrade both land and Axies.</span></p>
",https://discord.gg/axie,https://twitter.com/AxieInfinity,AXIE,collectible,0x32950db2a7164ae833121501c797d79e7b79d74c,AXIE,ERC721,axie
7,Axie Infinity,axieinfinity,2020-03-09T03:44:05,"<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkF4aWUlMjBJbmZpbml0eSUyMGlzJTIwYSUyMGdhbWUlMjB1bml2ZXJzZSUyMGZpbGxlZCUyMHdpdGglMjBmYXNjaW5hdGluZyUyMGNyZWF0dXJlcyUyQyUyMEF4aWVzJTJDJTIwdGhhdCUyMHBsYXllcnMlMjBjYW4lMjBjb2xsZWN0JTIwYXMlMjBwZXRzLiUyMFBsYXllcnMlMjBhaW0lMjB0byUyMGJhdHRsZSUyQyUyMGJyZWVkJTJDJTIwY29sbGVjdCUyQyUyMHJhaXNlJTJDJTIwYW5kJTIwYnVpbGQlMjBraW5nZG9tcyUyMGZvciUyMHRoZWlyJTIwQXhpZXMuJTIyJTJDJTIybWFya3MlMjIlM0ElNUIlNUQlMkMlMjJzZWxlY3Rpb25zJTIyJTNBJTVCJTVEJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyNWQ2YTFjMzlkNTVkNGExY2FjODZkYWZkZjllYmU2ZDclMjIlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwNTRkYzY2MmM1NWQ0YTg5YTIxMWNhMTE3Njk1MjE4ZSUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjQzYTM1ODFhMmNkZDQyMGQ5NGY4Y2RkYTVlYzM0MjZlJTIyJTdE"">Axie Infinity is an open-ended game universe full of fierce, adorable pets called Axies. Players aim to battle, breed, collect, raise, and build kingdoms for their Axies across Lunacia, the Axie homeland. Lunacia is divided into tokenized plots of land which act as home bases for Axies.</span></p>
<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMlRoZXJlJTIwYXJlJTIwY291bnRsZXNzJTIwdW5pcXVlJTIwQXhpZXMlMjB0aGF0JTIwcGxheWVycyUyMGNhbiUyMGNvbGxlY3QlMjB3aXRoJTIwdmFyeWluZyUyMGJvZHklMjBwYXJ0cyUyMGFuZCUyMGFwcGVhcmFuY2VzLiUyMEJvZHklMjBwYXJ0cyUyMHdpbGwlMjB1bmxvY2slMjBhYmlsaXRpZXMlMjBmb3IlMjBBeGllcyUyMHRoYXQlMjB2YXJ5JTIwYWNyb3NzJTIwZ2FtZXMlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwMWJmYjY1N2FkZjY0ZmFiOGY4MTY1YmU4YWFlZjg0MyUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjg4M2RlZDAyZTQyMjQ0YTRhZjNlOWQ5ZmU3ZTM2NTcxJTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzlhNTQ0NDJhNTY2NDQ2YTg4NTEyOTY3MTJhYWYwODklMjIlN0Q="">Axies vary in countless unique body parts and appearances. Body parts unlock abilities for Axies, giving them special benefits and skills from one game to another. </span><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkx1bmFjaWElMkMlMjAlMjB0aGUlMjBBeGllJTIwaG9tZWxhbmQlMkMlMjAlMjBpcyUyMGRpdmlkZWQlMjBpbnRvJTIwdG9rZW5pemVkJTIwcGxvdHMlMjBvZiUyMGxhbmQlMjB3aGljaCUyMGFjdCUyMGFzJTIwaG9tZXMlMjBhbmQlMjBiYXNlcyUyMG9mJTIwb3BlcmF0aW9uJTIwZm9yJTIwdGhlaXIlMjBBeGllcy4lMjBQbG90cyUyMGNhbiUyMGJlJTIwdXBncmFkZWQlMjBvdmVyJTIwdGltZSUyMHVzaW5nJTIwYSUyMHZhcmlldHklMjBvZiUyMHJlc291cmNlcyUyMGFuZCUyMGNyYWZ0aW5nJTIwaW5ncmVkaWVudHMlMjB0aGF0JTIwY2FuJTIwYmUlMjBmb3VuZCUyMHdoZW4lMjBwbGF5aW5nJTIwdGhlJTIwZ2FtZS4lMjAlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjJmYTM3Y2Q0ZjMwZmY0MDNkOWEwNGVlYTgxMjgwYTU1NiUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjVjOTdkY2NmYmRlMzQxMWRhOGJmNjM5NTQ4MTcxNTg5JTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzA0NWVkZjFmYzI0NDg1YWE1MmE4ZjQ5N2U5ZDQyMzIlMjIlN0Q="">Resources spawn in nodes across Lunacia and can be used to upgrade both land and Axies.</span></p>
",https://discord.gg/axie,https://twitter.com/AxieInfinity,Land Plot,land,0x8c811e3c958e190f5ec15fb376533a3398620500,LAND,ERC721,land-plot
8,Axie Infinity,axieinfinity,2020-03-09T03:44:05,"<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkF4aWUlMjBJbmZpbml0eSUyMGlzJTIwYSUyMGdhbWUlMjB1bml2ZXJzZSUyMGZpbGxlZCUyMHdpdGglMjBmYXNjaW5hdGluZyUyMGNyZWF0dXJlcyUyQyUyMEF4aWVzJTJDJTIwdGhhdCUyMHBsYXllcnMlMjBjYW4lMjBjb2xsZWN0JTIwYXMlMjBwZXRzLiUyMFBsYXllcnMlMjBhaW0lMjB0byUyMGJhdHRsZSUyQyUyMGJyZWVkJTJDJTIwY29sbGVjdCUyQyUyMHJhaXNlJTJDJTIwYW5kJTIwYnVpbGQlMjBraW5nZG9tcyUyMGZvciUyMHRoZWlyJTIwQXhpZXMuJTIyJTJDJTIybWFya3MlMjIlM0ElNUIlNUQlMkMlMjJzZWxlY3Rpb25zJTIyJTNBJTVCJTVEJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyNWQ2YTFjMzlkNTVkNGExY2FjODZkYWZkZjllYmU2ZDclMjIlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwNTRkYzY2MmM1NWQ0YTg5YTIxMWNhMTE3Njk1MjE4ZSUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjQzYTM1ODFhMmNkZDQyMGQ5NGY4Y2RkYTVlYzM0MjZlJTIyJTdE"">Axie Infinity is an open-ended game universe full of fierce, adorable pets called Axies. Players aim to battle, breed, collect, raise, and build kingdoms for their Axies across Lunacia, the Axie homeland. Lunacia is divided into tokenized plots of land which act as home bases for Axies.</span></p>
<p><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMlRoZXJlJTIwYXJlJTIwY291bnRsZXNzJTIwdW5pcXVlJTIwQXhpZXMlMjB0aGF0JTIwcGxheWVycyUyMGNhbiUyMGNvbGxlY3QlMjB3aXRoJTIwdmFyeWluZyUyMGJvZHklMjBwYXJ0cyUyMGFuZCUyMGFwcGVhcmFuY2VzLiUyMEJvZHklMjBwYXJ0cyUyMHdpbGwlMjB1bmxvY2slMjBhYmlsaXRpZXMlMjBmb3IlMjBBeGllcyUyMHRoYXQlMjB2YXJ5JTIwYWNyb3NzJTIwZ2FtZXMlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjIwMWJmYjY1N2FkZjY0ZmFiOGY4MTY1YmU4YWFlZjg0MyUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjg4M2RlZDAyZTQyMjQ0YTRhZjNlOWQ5ZmU3ZTM2NTcxJTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzlhNTQ0NDJhNTY2NDQ2YTg4NTEyOTY3MTJhYWYwODklMjIlN0Q="">Axies vary in countless unique body parts and appearances. Body parts unlock abilities for Axies, giving them special benefits and skills from one game to another. </span><span data-slate-fragment=""JTdCJTIyb2JqZWN0JTIyJTNBJTIyZG9jdW1lbnQlMjIlMkMlMjJkYXRhJTIyJTNBJTdCJTdEJTJDJTIybm9kZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJibG9jayUyMiUyQyUyMnR5cGUlMjIlM0ElMjJwYXJhZ3JhcGglMjIlMkMlMjJpc1ZvaWQlMjIlM0FmYWxzZSUyQyUyMmRhdGElMjIlM0ElN0IlN0QlMkMlMjJub2RlcyUyMiUzQSU1QiU3QiUyMm9iamVjdCUyMiUzQSUyMnRleHQlMjIlMkMlMjJsZWF2ZXMlMjIlM0ElNUIlN0IlMjJvYmplY3QlMjIlM0ElMjJsZWFmJTIyJTJDJTIydGV4dCUyMiUzQSUyMkx1bmFjaWElMkMlMjAlMjB0aGUlMjBBeGllJTIwaG9tZWxhbmQlMkMlMjAlMjBpcyUyMGRpdmlkZWQlMjBpbnRvJTIwdG9rZW5pemVkJTIwcGxvdHMlMjBvZiUyMGxhbmQlMjB3aGljaCUyMGFjdCUyMGFzJTIwaG9tZXMlMjBhbmQlMjBiYXNlcyUyMG9mJTIwb3BlcmF0aW9uJTIwZm9yJTIwdGhlaXIlMjBBeGllcy4lMjBQbG90cyUyMGNhbiUyMGJlJTIwdXBncmFkZWQlMjBvdmVyJTIwdGltZSUyMHVzaW5nJTIwYSUyMHZhcmlldHklMjBvZiUyMHJlc291cmNlcyUyMGFuZCUyMGNyYWZ0aW5nJTIwaW5ncmVkaWVudHMlMjB0aGF0JTIwY2FuJTIwYmUlMjBmb3VuZCUyMHdoZW4lMjBwbGF5aW5nJTIwdGhlJTIwZ2FtZS4lMjAlMjIlMkMlMjJtYXJrcyUyMiUzQSU1QiU1RCUyQyUyMnNlbGVjdGlvbnMlMjIlM0ElNUIlNUQlN0QlNUQlMkMlMjJrZXklMjIlM0ElMjJmYTM3Y2Q0ZjMwZmY0MDNkOWEwNGVlYTgxMjgwYTU1NiUyMiU3RCU1RCUyQyUyMmtleSUyMiUzQSUyMjVjOTdkY2NmYmRlMzQxMWRhOGJmNjM5NTQ4MTcxNTg5JTIyJTdEJTVEJTJDJTIya2V5JTIyJTNBJTIyYzA0NWVkZjFmYzI0NDg1YWE1MmE4ZjQ5N2U5ZDQyMzIlMjIlN0Q="">Resources spawn in nodes across Lunacia and can be used to upgrade both land and Axies.</span></p>
",https://discord.gg/axie,https://twitter.com/AxieInfinity,Land Item,item,0xa96660f0e4a3e9bc7388925d245a6d4d79e21259,ITEM,ERC721,land-item
9,CryptoPunks,cryptopunks,2020-03-09T03:51:10,"<p>10,000 unique collectible characters with proof of ownership stored on the Ethereum blockchain. The project that inspired the modern CryptoArt movement. An inspiration for the Ethereum ERC-721 standard that powers most digital art and collectibles. No two punks are alike, and each one of them can be officially owned by a single person on the Ethereum blockchain. Originally, they could be claimed for free by anybody with an Ethereum wallet, but all 10,000 were quickly claimed. Now they must be purchased from someone on the Ethereum marketplace contract. Via the market, you can buy, bid on, and offer punks for sale.</p>
",https://discordapp.com/invite/MtpGpT5,https://twitter.com/larvalabs,CryptoPunks,collectible,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,Ͼ,ERC721,cryptopunks
